1,ペコリーヌ,0,0,110
2,リマ,0,0,0
3,クルミ,0,0,460
4,レイ,0,0,490
5,ミソギ,0,0,370
6,クルミ,2,0,550
7,レイ,3,0,90
8,エリコ,12,0,290
9,ペコリーヌ,1,0,450
10,タマキ,0,0,400
11,スズメ,1,2,2320
12,タマキ,1,0,430
13,キャル,1,2,2330
14,シノブ,4,1,1210
15,ミサキ,4,2,2420
16,チカ,2,2,2310
17,アヤネ,2,0,310
18,ユイ,3,2,2240
19,ヒヨリ,3,0,200
20,シズル,12,1,1060
21,ムイミ,0,0,160
22,アン,0,2,2010
23,グレア,0,1,1270
24,クウカ,11,0,50
25,ニノン,11,0,220
26,ラム,0,1,1340
27,レム,0,1,1330
28,エミリア,0,2,2170
29,スズナ,1,2,2100
30,イオ,1,2,2140
31,サレン,1,1,1440
32,カオリ,1,1,1180
33,マコト,1,0,240
34,マホ,1,2,2360
35,ネネカ,0,2,2030
36,アオイ,10,2,2040
37,クロエ,0,0,270
38,チエル,0,0,420
39,ユニ,0,2,2400
40,キョウカ,4,2,2430
41,ミソギ,4,0,390
42,ミミ,4,1,1020
43,ルナ,0,2,2290
44,カヤ,0,0,190
45,イノリ,0,0,340
46,ノゾミ,2,1,1140
47,クリスティーナ,2,0,520
48,アンナ,0,1,1200
49,イリヤ,2,0,500
50,キャル,3,2,2050
51,スズメ,3,2,2160
52,コッコロ,3,0,140
53,カスミ,5,2,2190
54,シオリ,5,2,2120
55,ウヅキ,14,1,1040
56,ミオ,14,2,2060
57,サレン,0,1,1190
58,リン,14,0,100
59,ニノン,0,1,1130
60,ノゾミ,0,0,150
61,リン,9,1,1160
62,マヒル,9,1,1070
63,コッコロ,7,1,1360
64,アユミ,8,1,1250
65,リノ,8,2,2200
66,モニカ,0,1,1120
67,アンナ,1,0,510
68,ルカ,1,0,320
69,ナナカ,1,1,1220
70,ハツネ,1,1,1400
71,ミサト,1,2,2070
72,アカリ,0,1,1410
73,ジュン,1,0,250
74,アカリ,6,1,1290
75,ヨリ,6,1,1300
76,ミミ,0,1,1000
77,ツムギ,4,0,80
78,マツリ,4,0,280
79,レイ,4,1,1050
80,トモ,5,1,1090
81,シノブ,0,1,1010
82,ユカリ,2,1,1110
83,サレン,2,0,70
84,ヒヨリ,7,0,350
85,ムイミ,3,0,40
86,ペコリーヌ,3,0,480
87,マヒル,0,1,1080
88,コッコロ,15,1,1310
89,ユイ,15,1,1430
90,シェフィ,0,1,1030
91,カスミ,1,2,2220
92,キャル,7,2,2250
93,リマ,13,0,210
94,マコト,13,0,180
95,ミフユ,0,1,1150
96,ミツキ,0,1,1390
97,アキノ,0,0,230
98,コッコロ,0,1,1240
99,ユカリ,0,1,1100
100,ヨリ,0,1,1420
101,コッコロ,1,1,1320
102,ミヤコ,4,1,1450
103,アユミ,0,1,1260
104,リノ,0,2,2080
105,マホ,0,2,2370
106,ハツネ,0,2,2270
107,イオ,0,2,2130
108,シオリ,0,2,2110
109,ユキ,0,2,2390
110,スズナ,0,2,2090
111,チカ,0,2,2350
112,マコト,0,0,170
113,シズル,0,0,530
114,キャル,0,2,2260
115,ユイ,0,2,2380
116,ミサキ,0,2,2280
117,スズメ,0,2,2150
118,アオイ,0,2,2340
119,ルゥ,0,2,2020
120,ジータ,0,0,470
121,クウカ,0,0,20
122,ミヤコ,0,0,10
123,カオリ,0,0,60
124,アリサ,0,2,2000
125,ラビリスタ,0,1,1370
126,ツムギ,0,0,330
127,キョウカ,0,2,2410
128,ミサト,0,2,2210
129,イリヤ,0,1,1170
130,マツリ,0,0,260
131,トモ,0,0,410
132,クリスティーナ,0,0,540
133,アヤネ,0,0,380
134,カスミ,0,2,2180
135,リン,0,1,1350
136,ナナカ,0,2,2230
137,ルカ,0,0,130
138,エリコ,0,0,440
139,ペコリーヌ,7,0,120
140,アキノ,2,0,300
141,ジュン,0,0,30
142,ネネカ,3,1,1380
143,ヒヨリ,0,0,360
144,ミフユ,1,1,1230
145,モニカ,5,1,1280
146,ユイ,7,2,2300
